query_id,true_best_variant,picked_variant,true_best_ms,picked_ms,regret_ms,regret_ratio,hit,model,regime
q02_p0,no_mergejoin,no_hashjoin,3313.199,3964.82,651.6210000000001,0.1966742716027623,0,ridge,plan_time
q02_p3,no_hashjoin,no_hashjoin,3155.964,3155.964,0.0,0.0,1,ridge,plan_time
q04_p1,default,no_mergejoin,616.709,781.058,164.34900000000005,0.2664935974665523,0,ridge,plan_time
q04_p3,default,no_mergejoin,990.862,1103.474,112.61199999999997,0.11365053862192709,0,ridge,plan_time
q05_p4,no_nestloop,no_nestloop,5488.744,5488.744,0.0,0.0,1,ridge,plan_time
q06_p1,no_mergejoin,no_hashjoin,2169.062,2672.595,503.5329999999999,0.23214320291443946,0,ridge,plan_time
q07_p0,no_nestloop,no_nestloop,2952.799,2952.799,0.0,0.0,1,ridge,plan_time
q08_p1,default,no_nestloop,2058.638,5506.494,3447.8559999999998,1.6748238398397386,0,ridge,plan_time
q08_p4,no_mergejoin,no_nestloop,2379.517,5048.417,2668.9000000000005,1.1216141763223382,0,ridge,plan_time
q09_p2,no_nestloop,no_nestloop,7339.487,7339.487,0.0,0.0,1,ridge,plan_time
q11_p1,no_hashjoin,no_mergejoin,834.804,854.796,19.992000000000075,0.02394813632900661,0,ridge,plan_time
q12_p0,no_nestloop,no_mergejoin,3516.724,4893.417,1376.6930000000002,0.3914703001998452,0,ridge,plan_time
q14_p1,no_nestloop,no_nestloop,2195.13,2195.13,0.0,0.0,1,ridge,plan_time
q15_p2,default,default,4505.763,4505.763,0.0,0.0,1,ridge,plan_time
q16_p1,no_hashjoin,no_hashjoin,1923.553,1923.553,0.0,0.0,1,ridge,plan_time
q16_p4,no_mergejoin,no_hashjoin,1783.659,1946.083,162.42399999999998,0.09106224900611615,0,ridge,plan_time
q17_p1,no_hashjoin,no_hashjoin,2053.23,2053.23,0.0,0.0,1,ridge,plan_time
q19_p2,default,no_mergejoin,231.761,298.061,66.29999999999998,0.2860705640724712,0,ridge,plan_time
q19_p4,no_hashjoin,default,264.754,413.238,148.48399999999998,0.560837607741526,0,ridge,plan_time
q20_p4,no_hashjoin,no_mergejoin,17808.234,22436.179,4627.945,0.2598766952410889,0,ridge,plan_time
q21_p1,no_nestloop,no_nestloop,10391.969,10391.969,0.0,0.0,1,ridge,plan_time
