model,regime,feature,importance
xgboost,plan_time,hash_count,0.048428114503622055
xgboost,plan_time,num_joins,0.03925993666052818
xgboost,plan_time,hash_join_count,0.036663200706243515
xgboost,plan_time,materialize_count,0.025857364758849144
xgboost,plan_time,sort_count,0.02556620165705681
xgboost,plan_time,num_scans,0.020784707739949226
xgboost,plan_time,gather_count,0.01652248576283455
xgboost,plan_time,index_scan_count,0.016461530700325966
xgboost,plan_time,num_aggregates,0.015413588844239712
xgboost,plan_time,estimated_rows,0.014614790678024292
xgboost,plan_time,total_nodes,0.01421582791954279
xgboost,plan_time,gather_merge_count,0.012874548323452473
xgboost,plan_time,root_node_type__Sort,0.012526831589639187
xgboost,plan_time,seq_scan_count,0.008469299413263798
xgboost,plan_time,limit_count,0.008232715539634228
xgboost,plan_time,index_only_scan_count,0.006660264916718006
xgboost,plan_time,incremental_sort_count,0.0063321939669549465
xgboost,plan_time,root_node_type__Aggregate,0.005643772426992655
xgboost,plan_time,nested_loop_count,0.004989785607904196
xgboost,plan_time,num_sorts,0.004069444257766008
xgboost,plan_time,tree_depth,0.003914535045623779
xgboost,plan_time,planning_time_ms,0.0030763426329940557
xgboost,plan_time,aggregate_count,0.0009981868788599968
xgboost,plan_time,merge_join_count,0.000550577649846673
xgboost,plan_time,root_node_type__Nested Loop,0.0004971877788193524
xgboost,plan_time,root_node_type__Limit,6.827763718320057e-05
catboost,post_mortem,actual_total_time_ms,31.839001674291367
catboost,post_mortem,wall_time_ms,29.63786882281201
catboost,post_mortem,sum_shared_read_blocks,12.744982649883797
catboost,post_mortem,estimated_total_cost,4.18948760239905
catboost,post_mortem,estimated_startup_cost,4.0539805528313995
catboost,post_mortem,max_subtree_cost,1.407544214300888
catboost,post_mortem,estimated_rows,1.3733601371386601
catboost,post_mortem,sum_shared_hit_blocks,1.019654728188351
catboost,post_mortem,actual_rows,0.99595032183295
catboost,post_mortem,planning_time_ms,0.9062046745300553
catboost,post_mortem,hash_join_count,0.9034844707436501
catboost,post_mortem,tree_depth,0.7948327308464657
catboost,post_mortem,sum_temp_written_blocks,0.7940701726699266
catboost,post_mortem,num_aggregates,0.755300751695074
catboost,post_mortem,sum_temp_read_blocks,0.7167179823617879
catboost,post_mortem,aggregate_count,0.6636444179679585
catboost,post_mortem,sort_count,0.6612100398714638
catboost,post_mortem,max_actual_loops,0.5659910856291169
catboost,post_mortem,num_scans,0.5000068912915903
catboost,post_mortem,merge_join_count,0.4972570645116884
catboost,post_mortem,hash_count,0.4927831341420272
catboost,post_mortem,nested_loop_count,0.4875829907682666
catboost,post_mortem,num_joins,0.4691743430120235
catboost,post_mortem,root_node_type__Aggregate,0.46599552143800904
catboost,post_mortem,parallel_worker_count,0.41415736676418946
